cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel
NSCLC_AD,Image1.png,216,109.47685185185185,92.0,59.37763188160118,0.7080041799898251,0.9445598892398251,775.4581844944264
NSCLC_AD,Image10.png,274,190.9890510948905,190.0,72.81586032697803,0.6612745071580837,0.9525377268088385,983.6830673679299
NSCLC_AD,Image2.png,602,90.95182724252491,86.0,28.834491706003362,0.6221810916971113,0.945556079223265,2161.2306808594662
NSCLC_AD,Image3.png,319,195.74294670846396,156.0,120.02271103830567,0.6868320555603254,0.9490999951983019,1145.2368558042688
NSCLC_AD,Image4.png,309,156.8673139158576,121.0,100.84217474202353,0.6713198648459096,0.9482813013691288,1109.3360139295266
NSCLC_AD,Image5.png,515,120.79223300970874,92.0,75.0927034699853,0.6279378652622322,0.9498633055889006,1848.8933565492111
NSCLC_AD,Image6.png,383,123.57441253263707,89.0,77.53054867041313,0.6074744767333202,0.9482111807166452,1375.0022438026172
NSCLC_AD,Image7.png,257,162.0466926070039,152.0,77.05517351434453,0.6782460802007215,0.9500306631319495,922.6516361808685
NSCLC_AD,Image8.png,549,88.20218579234972,75.0,47.64127791466692,0.5836735428438214,0.9470332808928436,1970.9562189233338
NSCLC_AD,Image9.png,238,176.88235294117646,160.5,98.83274016699855,0.664271848590466,0.9495844512109606,854.4400366188587
NSCLC_SCC,Image1.png,613,97.16639477977162,91.0,31.38990776530925,0.621542914273344,0.9481141542452703,2200.7216069216825
NSCLC_SCC,Image10.png,190,89.53157894736842,81.5,33.62058505755348,0.7061040772180478,0.9417519389651847,682.1159956200974
NSCLC_SCC,Image2.png,364,141.7032967032967,105.5,100.2941820653856,0.6600255645196509,0.9496442886919152,1306.7906442406074
NSCLC_SCC,Image3.png,424,93.30896226415095,87.0,30.41561656449818,0.6461923005250113,0.9442274018467026,1522.1956954890593
NSCLC_SCC,Image4.png,270,106.77407407407408,98.0,41.23138046747613,0.6721325564043202,0.9471069452012506,969.322730618033
NSCLC_SCC,Image5.png,672,92.05059523809524,81.5,31.911062227742192,0.588718044552069,0.9495084896430445,2412.5365739826602
NSCLC_SCC,Image6.png,325,93.49230769230769,88.0,31.01043153368436,0.6021630382786611,0.9470374886976417,1166.777360929114
NSCLC_SCC,Image7.png,465,107.74408602150538,86.0,112.76961523805443,0.601058475546569,0.9496282952021232,1669.3891471755014
NSCLC_SCC,Image8.png,194,95.68041237113403,92.5,29.64377732089095,0.6739999395374121,0.9457069875430125,696.4763323699941
NSCLC_SCC,Image9.png,919,74.38302502720349,71.0,16.582145411650682,0.5397653524521028,0.9493267233460468,3299.2873682887866
