cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel,method
HCC,Image2.png,275,94.15636363636364,81.0,47.336946030602064,0.6211592091898328,0.949131546222058,987.273151555404,stardist
HCC,Image3.png,297,119.3973063973064,110.0,49.60127611333305,0.7915676005460323,0.9370355129082631,1066.2550036798364,stardist
HCC,Image4.png,268,162.92537313432837,142.0,90.20595231921226,0.7132792201565121,0.9476815333495484,962.1425622430846,stardist
HCC,Image5.png,320,125.10625,115.0,51.87516227384258,0.7061580350811469,0.9461695600352812,1148.8269399917428,stardist
HCC,Image6.png,323,159.06811145510835,144.0,65.03884292008786,0.6533599653425077,0.950356377245894,1159.5971925541655,stardist
HCC,Image7.png,128,143.1328125,124.5,87.09247699049467,0.6867516902926937,0.9444941276430447,459.5307759966971,stardist
HCC,Image8.png,406,133.243842364532,123.5,52.95543389799487,0.6430806548200554,0.9512439988379744,1457.5741801145236,stardist
HCC,Image9.png,423,136.54609929078015,132.0,42.46469402835235,0.6269976203553986,0.9499221779366748,1518.605611301585,stardist
NSCLC_AD,Image1.png,216,109.47685185185183,92.0,59.37763188160118,0.7080041799898251,0.9445598892398251,775.4581844944264,stardist
NSCLC_AD,Image10.png,274,190.9890510948905,190.0,72.81586032697803,0.6612745071580837,0.9525377268088384,983.68306736793,stardist
NSCLC_AD,Image2.png,602,90.95182724252491,86.0,28.83449170600336,0.6221810916971113,0.945556079223265,2161.2306808594662,stardist
NSCLC_AD,Image3.png,319,195.74294670846396,156.0,120.02271103830569,0.6868320555603254,0.949099995198302,1145.2368558042688,stardist
NSCLC_AD,Image4.png,309,156.8673139158576,121.0,100.84217474202352,0.6713198648459096,0.9482813013691288,1109.3360139295266,stardist
NSCLC_AD,Image5.png,515,120.79223300970874,92.0,75.0927034699853,0.6279378652622322,0.9498633055889006,1848.8933565492111,stardist
NSCLC_AD,Image6.png,383,123.57441253263708,89.0,77.53054867041313,0.6074744767333202,0.9482111807166452,1375.0022438026172,stardist
NSCLC_AD,Image7.png,257,162.0466926070039,152.0,77.05517351434453,0.6782460802007215,0.9500306631319496,922.6516361808684,stardist
NSCLC_AD,Image8.png,549,88.20218579234972,75.0,47.64127791466692,0.5836735428438214,0.9470332808928436,1970.9562189233336,stardist
NSCLC_AD,Image9.png,238,176.88235294117646,160.5,98.83274016699856,0.664271848590466,0.9495844512109606,854.4400366188587,stardist
NSCLC_SCC,Image1.png,613,97.16639477977162,91.0,31.38990776530925,0.621542914273344,0.9481141542452703,2200.7216069216825,stardist
NSCLC_SCC,Image10.png,190,89.53157894736842,81.5,33.62058505755348,0.7061040772180478,0.9417519389651848,682.1159956200974,stardist
NSCLC_SCC,Image2.png,364,141.7032967032967,105.5,100.2941820653856,0.6600255645196509,0.9496442886919152,1306.7906442406074,stardist
NSCLC_SCC,Image3.png,424,93.30896226415096,87.0,30.41561656449818,0.6461923005250113,0.9442274018467026,1522.1956954890593,stardist
NSCLC_SCC,Image4.png,270,106.77407407407408,98.0,41.23138046747613,0.6721325564043202,0.9471069452012506,969.322730618033,stardist
